code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_type,report_date,PE_TTM,PS_TTM,PC_TTM,PB,adjust_price_f
sh600011,2014-12-31,8.530000,8.990000,8.410000,8.830000,0.031542,87204394.000000,759331659.000000,92715000000.000000,92715000000.000000,0.008305,34.886510,2014-09-30,2014-10-22,10.954988,0.960430,3.819099,1.858083,8.754544
sh600011,2014-12-30,8.860000,8.950000,8.380000,8.560000,-0.034949,79302161.000000,684251160.000000,89880000000.000000,89880000000.000000,0.007553,33.819767,2014-09-30,2014-10-22,10.620011,0.931062,3.702320,1.801268,8.486852
sh600011,2014-12-29,8.870000,9.300000,8.610000,8.870000,0.000000,120289111.000000,1084603645.000000,93135000000.000000,93135000000.000000,0.011456,35.044538,2014-09-30,2014-10-22,11.004612,0.964780,3.836399,1.866500,8.794201
sh600011,2014-12-26,8.820000,8.990000,8.520000,8.870000,0.005669,114194029.000000,1001745763.000000,93135000000.000000,93135000000.000000,0.010876,35.044538,2014-09-30,2014-10-22,11.004612,0.964780,3.836399,1.866500,8.794201
sh600011,2014-12-25,8.450000,8.850000,8.250000,8.820000,0.042553,105308648.000000,894559362.000000,92610000000.000000,92610000000.000000,0.010029,34.846991,2014-09-30,2014-10-22,10.942578,0.959342,3.814773,1.855978,8.744627
sh600011,2014-12-24,8.510000,9.130000,8.300000,8.460000,-0.023095,125820071.000000,1095825581.000000,88830000000.000000,88830000000.000000,0.011983,33.424671,2014-09-30,2014-10-22,10.495944,0.920185,3.659068,1.780224,8.387705
sh600011,2014-12-23,9.180000,9.290000,8.340000,8.660000,-0.065804,153666173.000000,1355339551.000000,90930000000.000000,90930000000.000000,0.014635,34.214863,2014-09-30,2014-10-22,10.744079,0.941939,3.745572,1.822311,8.585999
sh600011,2014-12-22,8.610000,9.270000,8.610000,9.270000,0.099644,235088039.000000,2156868257.000000,97335000000.000000,97335000000.000000,0.022389,36.624930,2014-09-30,2014-10-22,11.500883,1.008289,4.009407,1.950673,9.190790
sh600011,2014-12-19,7.850000,8.590000,7.810000,8.430000,0.069797,168949056.000000,1384669341.000000,88515000000.000000,88515000000.000000,0.016090,33.306170,2014-09-30,2014-10-22,10.458733,0.916923,3.646096,1.773913,8.357968
sh600011,2014-12-18,7.910000,8.040000,7.680000,7.880000,0.002545,94466106.000000,742665052.000000,82740000000.000000,82740000000.000000,0.008997,31.133168,2014-09-30,2014-10-22,9.776371,0.857100,3.408213,1.658177,7.812667
sh600011,2014-12-17,7.580000,7.880000,7.480000,7.860000,0.036939,122463392.000000,943191272.000000,82530000000.000000,82530000000.000000,0.011663,31.054135,2014-09-30,2014-10-22,9.751554,0.854924,3.399561,1.653968,7.792835
sh600011,2014-12-16,7.420000,7.660000,7.340000,7.580000,0.017450,83510317.000000,624731744.000000,79590000000.000000,79590000000.000000,0.007953,29.947890,2014-09-30,2014-10-22,9.404173,0.824469,3.278458,1.595048,7.515230
sh600011,2014-12-15,7.480000,7.500000,7.270000,7.450000,-0.010624,62623467.000000,461929725.000000,78225000000.000000,78225000000.000000,0.005964,29.434262,2014-09-30,2014-10-22,9.242885,0.810329,3.222230,1.567692,7.386338
